"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2021","228.50","228.50","228.50","228.50","0.01K","2.19%"
"07/15/2021","223.60","223.60","223.60","223.60","0.25K","-8.92%"
"07/12/2021","245.50","245.50","245.50","245.50","0.70K","-2.15%"
"07/07/2021","250.90","250.90","250.90","250.90","0.51K","4.41%"
"07/05/2021","240.30","240.30","240.30","240.30","0.01K","2.21%"
"06/30/2021","235.10","234.00","235.10","230.00","0.23K","-4.66%"
"06/29/2021","246.60","246.60","246.60","246.60","0.10K","0.86%"
"06/28/2021","244.50","244.50","244.50","244.50","1.49K","6.30%"
"06/25/2021","230.00","230.00","230.00","230.00","0.30K","-0.73%"
"06/23/2021","231.70","231.70","231.70","231.70","5.83K","-1.91%"
"06/21/2021","236.20","221.60","236.20","221.60","0.07K","0.51%"
"06/17/2021","235.00","235.00","235.00","235.00","0.05K","-4.97%"
"06/16/2021","247.30","245.90","247.30","245.90","7.00K","11.35%"
"06/15/2021","222.10","236.00","236.00","222.10","0.82K","3.11%"
"06/11/2021","215.40","215.40","215.40","215.40","0.01K","-2.62%"
"06/10/2021","221.20","215.70","221.20","215.70","0.14K","-1.03%"
"06/01/2021","223.50","193.25","223.50","193.25","0.36K","-1.41%"
"05/31/2021","226.70","226.70","226.70","226.70","0.02K","1.89%"
"05/28/2021","222.50","222.50","222.50","222.50","0.13K","7.75%"
"05/19/2021","206.50","206.50","206.50","206.50","0.04K","1.32%"
"05/18/2021","203.80","204.00","204.00","203.80","0.05K","3.19%"
"05/14/2021","197.50","197.50","197.50","197.50","0.03K","-2.71%"
"05/12/2021","203.00","217.30","217.30","203.00","0.44K","-4.65%"
"05/11/2021","212.90","205.00","212.90","200.00","0.22K","11.17%"
"05/10/2021","191.50","191.50","191.50","191.50","0.08K","-3.19%"
"05/06/2021","197.80","204.40","204.40","197.80","0.25K","-9.68%"
"05/05/2021","219.00","219.00","219.00","219.00","0.22K","-0.45%"
"05/04/2021","220.00","216.70","220.00","216.70","0.07K","1.38%"
"05/03/2021","217.00","224.60","224.60","217.00","0.10K","-6.91%"
"04/30/2021","233.10","229.00","233.10","217.70","0.90K","-9.12%"
"04/29/2021","256.50","256.00","256.50","256.00","0.18K","-0.27%"
"04/28/2021","257.20","258.20","258.20","257.20","0.20K","-2.91%"
"04/26/2021","264.90","264.90","264.90","264.90","0.10K","1.88%"
"04/23/2021","260.00","260.00","260.00","260.00","0.10K","8.33%"
"04/21/2021","240.00","245.20","245.20","240.00","0.81K","-8.43%"
"04/19/2021","262.10","276.00","276.00","262.10","0.12K","-0.94%"
"04/16/2021","264.60","264.60","264.60","264.60","0.30K","0.99%"
"04/15/2021","262.00","262.00","262.00","262.00","0.39K","-0.23%"
"04/14/2021","262.60","262.70","262.70","262.60","0.27K","3.51%"
"04/13/2021","253.70","253.70","253.70","253.70","0.04K","-2.27%"
"03/31/2021","259.60","259.60","259.60","259.60","0.01K","5.53%"
"03/30/2021","246.00","246.00","246.00","246.00","0.02K","2.84%"
"03/29/2021","239.20","239.20","239.20","239.20","0.01K","6.03%"
"03/26/2021","225.60","236.40","236.40","225.60","0.12K","-6.62%"
"03/24/2021","241.60","241.60","241.60","241.60","9.99K","-9.38%"
"03/23/2021","266.60","266.00","266.60","266.00","0.08K","-2.34%"
"03/11/2021","273.00","273.00","273.00","273.00","0.08K","1.11%"
"03/09/2021","270.00","270.00","270.00","270.00","0.60K","9.40%"
"03/05/2021","246.80","246.80","246.80","246.80","0.16K","0.33%"
"03/04/2021","246.00","246.00","246.00","246.00","0.03K","-0.40%"
"03/03/2021","247.00","248.80","249.00","247.00","0.20K","-7.42%"
"03/02/2021","266.80","266.80","266.80","266.80","0.01K","0.68%"
"03/01/2021","265.00","265.00","265.00","265.00","0.08K","3.76%"
"02/26/2021","255.40","255.40","255.40","255.40","0.08K","-2.44%"
"02/25/2021","261.80","261.80","261.80","261.80","0.02K","4.72%"
"02/24/2021","250.00","255.20","255.20","250.00","0.14K","0.81%"
"02/23/2021","248.00","246.80","248.00","240.00","0.23K","-5.70%"
"02/22/2021","263.00","264.60","264.60","263.00","0.10K","-2.52%"
"02/19/2021","269.80","266.00","269.80","265.00","2.24K","-4.26%"
"02/18/2021","281.80","285.80","285.80","281.80","0.28K","-5.44%"
"02/16/2021","298.00","295.00","303.00","295.00","0.23K","1.22%"
"02/15/2021","294.40","290.60","294.40","287.80","0.90K","2.29%"
"02/12/2021","287.80","291.60","291.60","287.80","1.07K","-4.07%"
"02/11/2021","300.00","300.00","300.00","300.00","0.04K","-1.25%"
"02/10/2021","303.80","303.80","303.80","303.80","0.10K","1.47%"
"02/09/2021","299.40","307.40","307.40","299.40","0.91K","-2.86%"
"02/08/2021","308.20","308.20","308.20","308.20","0.10K","-1.85%"
"02/05/2021","314.00","314.60","319.60","314.00","0.94K","2.68%"
"02/04/2021","305.80","305.60","305.80","305.60","0.11K","-3.53%"
"02/03/2021","317.00","317.00","317.00","317.00","0.04K","-3.24%"
"02/01/2021","327.60","324.40","327.60","324.40","0.55K","-0.61%"
"01/29/2021","329.60","320.00","333.00","320.00","0.96K","0.73%"
"01/28/2021","327.20","325.60","330.00","325.60","1.04K","0.80%"
"01/27/2021","324.60","358.00","358.00","324.60","0.80K","-9.18%"
"01/26/2021","357.40","357.40","357.40","357.40","52.56K","-2.62%"
"01/22/2021","367.00","367.00","367.00","367.00","0.02K","0.55%"
"01/21/2021","365.00","365.00","365.00","365.00","0.08K","0.00%"
"01/19/2021","365.00","365.60","365.60","365.00","0.06K","3.17%"
"01/18/2021","353.80","353.60","353.80","353.60","0.10K","0.74%"
"01/12/2021","351.20","360.40","360.40","351.20","0.34K","-2.55%"
"01/11/2021","360.40","374.20","374.20","359.60","1.08K","-8.76%"
"01/08/2021","395.00","395.00","395.00","395.00","0.20K","2.86%"
"01/07/2021","384.00","369.00","385.00","369.00","1.24K","5.49%"
"01/06/2021","364.00","350.00","364.40","350.00","0.75K","1.96%"
"01/05/2021","357.00","344.00","357.00","344.00","1.07K","1.19%"
"01/04/2021","352.80","340.00","361.00","340.00","3.14K","3.89%"
"12/30/2020","339.60","335.00","340.20","330.20","0.23K","1.74%"
"12/29/2020","333.80","342.00","350.00","333.80","1.09K","-1.48%"
"12/28/2020","338.80","339.00","340.80","338.60","0.59K","5.68%"
"12/23/2020","320.60","323.00","326.00","320.60","0.79K","1.58%"
"12/22/2020","315.60","312.20","315.60","312.20","0.19K","3.14%"
"12/21/2020","306.00","310.40","315.00","303.40","0.66K","-2.42%"
"12/18/2020","313.60","308.40","314.60","308.40","0.24K","6.23%"
"12/17/2020","295.20","301.80","301.80","295.20","1.17K","-4.77%"
"12/16/2020","310.00","300.00","310.00","300.00","0.03K","3.47%"
"12/15/2020","299.60","300.20","302.00","299.60","1.21K","-0.13%"
"12/14/2020","300.00","298.40","300.00","298.00","0.36K","1.15%"
"12/11/2020","296.60","293.00","310.00","293.00","0.34K","0.68%"
"12/10/2020","294.60","291.20","294.60","291.20","0.20K","1.45%"
"12/09/2020","290.40","287.20","291.40","287.00","0.38K","3.57%"
"12/08/2020","280.40","280.00","285.00","280.00","0.55K","0.72%"
"12/07/2020","278.40","272.60","278.40","272.60","1.30K","3.42%"
"12/04/2020","269.20","272.00","272.00","268.40","4.57K","-1.82%"
"12/03/2020","274.20","274.60","276.00","273.60","1.50K","1.56%"
"12/02/2020","270.00","270.60","276.00","270.00","1.82K","-0.88%"
"12/01/2020","272.40","275.60","280.00","272.40","1.49K","-1.80%"
